indic,s_adj,unit,geo,time,values
BS-RPBS,NSA,BAL,DK,2018-08-01,8
BS-RPBS,NSA,BAL,EA19,2018-08-01,10.7
BS-RPBS,NSA,BAL,EE,2018-08-01,37.9
BS-RPBS,NSA,BAL,EL,2018-08-01,30.6
BS-RPBS,NSA,BAL,ES,2018-08-01,10.5
BS-RPBS,NSA,BAL,EU28,2018-08-01,16.9
BS-RPBS,NSA,BAL,FI,2018-08-01,29
BS-RPBS,NSA,BAL,FR,2018-08-01,2
BS-RPBS,NSA,BAL,HR,2018-08-01,18.7
BS-RPBS,NSA,BAL,HU,2018-08-01,14.6
BS-RPBS,NSA,BAL,IT,2018-08-01,11.8
BS-RPBS,NSA,BAL,LT,2018-08-01,19.8
BS-RPBS,NSA,BAL,LV,2018-08-01,19.6
BS-RPBS,NSA,BAL,ME,2018-08-01,46.3
BS-RPBS,NSA,BAL,MK,2018-08-01,11.4
BS-RPBS,NSA,BAL,MT,2018-08-01,24.3
BS-RPBS,NSA,BAL,NL,2018-08-01,28.8
BS-RPBS,NSA,BAL,PL,2018-08-01,11.5
BS-RPBS,NSA,BAL,PT,2018-08-01,4.4
BS-RPBS,NSA,BAL,RO,2018-08-01,14.2
BS-RPBS,NSA,BAL,RS,2018-08-01,19.6
BS-RPBS,NSA,BAL,SE,2018-08-01,21
BS-RPBS,NSA,BAL,SI,2018-08-01,12.4
BS-RPBS,NSA,BAL,SK,2018-08-01,33
BS-RPBS,NSA,BAL,TR,2018-08-01,-3.8
BS-RPBS,NSA,BAL,UK,2018-08-01,42.3
BS-RPBS,SA,BAL,AT,2018-08-01,-7.6
BS-RPBS,SA,BAL,BE,2018-08-01,-4.4
BS-RPBS,SA,BAL,BG,2018-08-01,20.5
BS-RPBS,SA,BAL,CY,2018-08-01,5.8
BS-RPBS,SA,BAL,CZ,2018-08-01,36.6
BS-RPBS,SA,BAL,DE,2018-08-01,14.4
BS-RPBS,SA,BAL,DK,2018-08-01,6.9
BS-RPBS,SA,BAL,EA19,2018-08-01,8.6
BS-RPBS,SA,BAL,EE,2018-08-01,22.7
BS-RPBS,SA,BAL,EL,2018-08-01,29.9
BS-RPBS,SA,BAL,ES,2018-08-01,3.1
BS-RPBS,SA,BAL,EU28,2018-08-01,12.7
BS-RPBS,SA,BAL,FI,2018-08-01,31.3
BS-RPBS,SA,BAL,FR,2018-08-01,-1.3
BS-RPBS,SA,BAL,HR,2018-08-01,11.1
BS-RPBS,SA,BAL,HU,2018-08-01,16.6
BS-RPBS,SA,BAL,IT,2018-08-01,10.8
BS-RPBS,SA,BAL,LT,2018-08-01,19.1
BS-RPBS,SA,BAL,LV,2018-08-01,8.4
BS-RPBS,SA,BAL,ME,2018-08-01,25.7
BS-RPBS,SA,BAL,MK,2018-08-01,-7.4
BS-RPBS,SA,BAL,MT,2018-08-01,16.1
BS-RPBS,SA,BAL,NL,2018-08-01,19.1
BS-RPBS,SA,BAL,PL,2018-08-01,13.2
BS-RPBS,SA,BAL,PT,2018-08-01,0.6
BS-RPBS,SA,BAL,RO,2018-08-01,-5.6
BS-RPBS,SA,BAL,RS,2018-08-01,14.4
BS-RPBS,SA,BAL,SE,2018-08-01,20.7
BS-RPBS,SA,BAL,SI,2018-08-01,11.7
BS-RPBS,SA,BAL,SK,2018-08-01,33.7
BS-RPBS,SA,BAL,TR,2018-08-01,-14.8
BS-RPBS,SA,BAL,UK,2018-08-01,28.2
BS-RAS,NSA,BAL,AT,2018-07-01,25.1
BS-RAS,NSA,BAL,BE,2018-07-01,17.2
BS-RAS,NSA,BAL,BG,2018-07-01,2.2
BS-RAS,NSA,BAL,CY,2018-07-01,6.4
BS-RAS,NSA,BAL,CZ,2018-07-01,6.1
BS-RAS,NSA,BAL,DE,2018-07-01,26.3
BS-RAS,NSA,BAL,DK,2018-07-01,11.2
BS-RAS,NSA,BAL,EA19,2018-07-01,17
BS-RAS,NSA,BAL,EE,2018-07-01,10.9
BS-RAS,NSA,BAL,EL,2018-07-01,12.4
BS-RAS,NSA,BAL,ES,2018-07-01,8.8
BS-RAS,NSA,BAL,EU28,2018-07-01,16
BS-RAS,NSA,BAL,FI,2018-07-01,-1
BS-RAS,NSA,BAL,FR,2018-07-01,15.2
BS-RAS,NSA,BAL,HR,2018-07-01,3.7
BS-RAS,NSA,BAL,HU,2018-07-01,4.6
BS-RAS,NSA,BAL,IT,2018-07-01,15.8
BS-RAS,NSA,BAL,LT,2018-07-01,3
BS-RAS,NSA,BAL,LV,2018-07-01,1.1
BS-RAS,NSA,BAL,ME,2018-07-01,6.5
BS-RAS,NSA,BAL,MK,2018-07-01,7.1
BS-RAS,NSA,BAL,MT,2018-07-01,6.1
BS-RAS,NSA,BAL,NL,2018-07-01,9.1
BS-RAS,NSA,BAL,PL,2018-07-01,7
BS-RAS,NSA,BAL,PT,2018-07-01,4.2
BS-RAS,NSA,BAL,RO,2018-07-01,-0.2
BS-RAS,NSA,BAL,RS,2018-07-01,7.4
BS-RAS,NSA,BAL,SE,2018-07-01,30
BS-RAS,NSA,BAL,SI,2018-07-01,1.4
BS-RAS,NSA,BAL,SK,2018-07-01,5
BS-RAS,NSA,BAL,TR,2018-07-01,-3.5
BS-RAS,NSA,BAL,UK,2018-07-01,15.5
BS-RAS,SA,BAL,AT,2018-07-01,31.4
BS-RAS,SA,BAL,BE,2018-07-01,15.1
BS-RAS,SA,BAL,BG,2018-07-01,1.3
BS-RAS,SA,BAL,CY,2018-07-01,3.8
BS-RAS,SA,BAL,CZ,2018-07-01,6.2
BS-RAS,SA,BAL,DE,2018-07-01,25.8
BS-RAS,SA,BAL,DK,2018-07-01,11.6
BS-RAS,SA,BAL,EA19,2018-07-01,16.2
BS-RAS,SA,BAL,EE,2018-07-01,12.2
BS-RAS,SA,BAL,EL,2018-07-01,9.6
BS-RAS,SA,BAL,ES,2018-07-01,9.1
BS-RAS,SA,BAL,EU28,2018-07-01,16
BS-RAS,SA,BAL,FI,2018-07-01,2.8
BS-RAS,SA,BAL,FR,2018-07-01,13.5
BS-RAS,SA,BAL,HR,2018-07-01,4.6
BS-RAS,SA,BAL,HU,2018-07-01,2.9
BS-RAS,SA,BAL,IT,2018-07-01,13.4
BS-RAS,SA,BAL,LT,2018-07-01,2.1
BS-RAS,SA,BAL,LV,2018-07-01,1.9
BS-RAS,SA,BAL,ME,2018-07-01,7.1
BS-RAS,SA,BAL,MK,2018-07-01,5.6
BS-RAS,SA,BAL,MT,2018-07-01,5.8
BS-RAS,SA,BAL,NL,2018-07-01,8.5
BS-RAS,SA,BAL,PL,2018-07-01,7
BS-RAS,SA,BAL,PT,2018-07-01,4.3
BS-RAS,SA,BAL,RO,2018-07-01,6.2
BS-RAS,SA,BAL,RS,2018-07-01,7.4
BS-RAS,SA,BAL,SE,2018-07-01,28.6
BS-RAS,SA,BAL,SI,2018-07-01,2.8
BS-RAS,SA,BAL,SK,2018-07-01,5.1
BS-RAS,SA,BAL,TR,2018-07-01,-4.1
BS-RAS,SA,BAL,UK,2018-07-01,18.3
BS-RCI,NSA,BAL,AT,2018-07-01,-13.2
BS-RCI,NSA,BAL,BE,2018-07-01,-16.8
BS-RCI,NSA,BAL,BG,2018-07-01,20.7
BS-RCI,NSA,BAL,CY,2018-07-01,5.4
BS-RCI,NSA,BAL,CZ,2018-07-01,19.8
BS-RCI,NSA,BAL,DE,2018-07-01,-7.2
BS-RCI,NSA,BAL,DK,2018-07-01,6.9
BS-RCI,NSA,BAL,EA19,2018-07-01,-0.2
BS-RCI,NSA,BAL,EE,2018-07-01,13.1
BS-RCI,NSA,BAL,EL,2018-07-01,12.6
BS-RCI,NSA,BAL,ES,2018-07-01,10.9
BS-RCI,NSA,BAL,EU28,2018-07-01,1.5
BS-RCI,NSA,BAL,FI,2018-07-01,18.7
BS-RCI,NSA,BAL,FR,2018-07-01,-1
BS-RCI,NSA,BAL,HR,2018-07-01,16.9
BS-RCI,NSA,BAL,HU,2018-07-01,5.8
BS-RCI,NSA,BAL,IT,2018-07-01,3.5
BS-RCI,NSA,BAL,LT,2018-07-01,10.6
BS-RCI,NSA,BAL,LV,2018-07-01,14.8
BS-RCI,NSA,BAL,ME,2018-07-01,30.3
BS-RCI,NSA,BAL,MK,2018-07-01,5.7
BS-RCI,NSA,BAL,MT,2018-07-01,9.9
BS-RCI,NSA,BAL,NL,2018-07-01,4
BS-RCI,NSA,BAL,PL,2018-07-01,5
BS-RCI,NSA,BAL,PT,2018-07-01,1.7
BS-RCI,NSA,BAL,RO,2018-07-01,14.6
BS-RCI,NSA,BAL,RS,2018-07-01,11.9
BS-RCI,NSA,BAL,SE,2018-07-01,11.7
BS-RCI,NSA,BAL,SI,2018-07-01,8.8
BS-RCI,NSA,BAL,SK,2018-07-01,28
BS-RCI,NSA,BAL,TR,2018-07-01,4.4
BS-RCI,NSA,BAL,UK,2018-07-01,2.4
BS-RCI,SA,BAL,AT,2018-07-01,-14.5
BS-RCI,SA,BAL,BE,2018-07-01,-14.9
BS-RCI,SA,BAL,BG,2018-07-01,18.8
BS-RCI,SA,BAL,CY,2018-07-01,4.6
BS-RCI,SA,BAL,CZ,2018-07-01,20.7
BS-RCI,SA,BAL,DE,2018-07-01,-6.6
BS-RCI,SA,BAL,DK,2018-07-01,7.8
BS-RCI,SA,BAL,EA19,2018-07-01,0.3
BS-RCI,SA,BAL,EE,2018-07-01,8.1
